yyyy	mm	tmax	tmin	rain
2013	7	27	15.2	25.2
2013	8	24.3	14.3	32.6
2013	9	19.7	11.1	49.6
2013	10	17	10.6	81.4
2013	11	10.4	4.7	50
2013	12	10.2	3.5	98.2
2014	1	10	3.8	162.4
2014	2	10.6	4.4	89.8
2014	3	14.1	4.4	27.8
2014	4	16.1	7.5	58
2014	5	18	9.8	84.6
2014	6	22.1	12.5	40.8
2014	7	25.8	15	50
2014	8	21.7	12.7	97.6
2014	9	21.5	12.8	10.8
2014	10	17.6	11	76
2014	11	12.5	6.9	128.4
2014	12	9.2	3	37.8
2015	1	8.8	1.6	63.4
2015	2	8	1.8	39
2015	3	11.6	4.1	24
2015	4	16.3	6	16.2
2015	5	17.6	8.8	41.6
2015	6	22.2	11.4	12.2
2015	7	23.7	13.8	71.8
2015	8	22.2	14.1	116.8
2015	9	18.6	9.7	50.8
2015	10	15.8	9.3	39.8
2015	11	13.4	8	48.2
2015	12	13.7	8.9	39.4
