yyyy	mm	tmax	tmin	rain
1937	5	11.4	6.4	17.5
1937	6	13.8	8	70.4
1937	7	15.2	10.6	49.7
1937	8	15.4	9.9	78.5
1937	9	14.3	7.6	44.4
1937	10	12.2	6.5	63.8
1937	11	8.3	3.5	37.2
1937	12	6.1	1	56
1938	1	7.2	2.3	89.9
1938	2	7.2	1.9	52
1938	3	11	4.3	53.7
1938	4	10	3.4	39.6
1938	5	10.9	5.3	66.4
1938	6	13.4	7.9	89.2
1938	7	15	9.7	87.9
1938	8	15.6	9.3	60.3
1938	9	14.3	8.4	74.5
1938	10	11.9	6.3	113.1
1938	11	9.3	4.3	71.2
1938	12	6.9	2.5	49.9
1939	1	5.4	-0.4	93.6
1939	2	7.8	2.9	31.8
1939	3	7.5	2.6	49.5
1939	4	9	3.4	25.2
1939	5	11.4	6.7	19.9
1939	6	14.5	8.2	31.2
1939	7	14.2	9.7	118.3
1939	8	15.4	10.6	40.3
1939	9	14.6	9.4	40.5
1939	10	10.5	5.1	39.7
1939	11	9.4	4.3	104.5
1939	12	6.7	2.6	85
1940	1	4.3	-1.1	36.3
1940	2	5.1	0.9	18
1940	3	6.8	0.7	45.1
1940	4	8.2	3.5	74.1
1940	5	11.9	7	44.3
1940	6	15.1	8.9	25.4
1940	7	14.1	9.9	114.6
1940	8	15.2	8.6	64.3
1940	9	13.4	7.1	57.7
1940	10	11.1	6.7	57.3
1940	11	8.8	3.3	99.2
1940	12	6.8	2	49.6
1941	1	3.9	-0.6	29.8
1941	2	4.6	-0.4	69
1941	3	5.7	0.3	38.3
1941	4	7	2.3	36.7
1941	5	9.4	4.2	23.1
1941	6	13.6	7.8	12.8
1941	7	15.5	9.9	50.4
1941	8	15	9.6	104.8
1941	9	15.2	9.8	39.5
1941	10	11.8	5.2	88.2
1941	11	9	4.6	81.6
1941	12	7.7	2.7	52.6
1942	1	4.5	0	111
1942	2	4.7	-0.6	58.1
1942	3	5.9	1.1	31.1
1942	4	9.5	3.4	24.5
1942	5	11.3	4.3	49.8
1942	6	13.5	7	24.8
1942	7	15.9	9	98.1
1942	8	15.5	10.2	43.5
1942	9	14.4	7.4	81.7
1942	10	11	5.1	109.1
1942	11	8.6	3.2	34.4
1942	12	7.9	3	91.3
1943	1	6.4	1.8	58.9
1943	2	8.7	2.2	83.1
1943	3	9.1	3	26.8
1943	4	11.3	4.2	63.5
1943	5	11.8	5.3	56.4
1943	6	14.4	8.1	44.7
1943	7	15.4	8.9	89
1943	8	14.9	8.2	84.7
1943	9	14.2	8	90
1943	10	12.9	7.6	43.1
1943	11	8.1	3.2	103.8
1943	12	7.2	2.3	51.6
1944	1	7.1	1.5	92.9
1944	2	6.6	1	50.6
1944	3	7.2	1.1	67.9
1944	4	10.1	4.5	51.9
1944	5	11.3	5.9	60.9
1944	6	13.3	7.7	75
1944	7	14.7	10.4	34.8
1944	8	16.8	10.2	40.2
1944	9	13.6	7	77.9
1944	10	11.2	5.5	76.1
1944	11	6.9	1.7	107.4
1944	12	6.2	1.4	79.5
1945	1	3.7	-2.5	93.1
1945	2	8.1	2.3	48.9
1945	3	10.4	4.4	29.2
1945	4	10.7	4.1	44.7
1945	5	11.5	5.8	64.3
1945	6	14.5	8.2	72.9
1945	7	16.7	10.9	73.9
1945	8	16.1	9.5	59.3
1945	9	15.2	8.4	63.5
1945	10	13.2	7.3	95.1
1945	11	10.3	6	31.7
1945	12	8.1	2.5	137.4
1946	1	6.5	1.6	34.1
1946	2	6.4	0.4	82.8
1946	3	8	1.9	40.8
1946	4	11.4	3.6	31.6
1946	5	11.5	5	35.6
1946	6	14.7	7.4	69.3
1946	7	16.6	10.5	87.8
1946	8	16.1	8.7	50.4
1946	9	15	8.8	54.7
1946	10	11.3	6.1	9.7
1946	11	9.3	3.9	107
1946	12	6.9	1.3	48.2
1947	1	5.9	1.6	75.1
1947	2	2.2	-2.9	36.4
1947	3	8	-2.5	43.9
1947	4	11.4	2.9	46
1947	5	11.5	6.1	31.4
1947	6	14.7	8	64.4
1947	7	16.6	10	22.4
1947	8	18.3	11	1.4
1947	9	15	8.3	98.9
1947	10	12.5	7.4	41.1
1947	11	7.6	2.3	128.3
1947	12	7.1	2.3	89.7
1948	1	5.2	0.6	100.3
1948	2	6.4	1.8	58.2
1948	3	10.4	3.4	27.2
1948	4	10.2	3.5	41.2
1948	5	11.6	4.5	42.8
1948	6	13.8	8.1	72.9
1948	7	15.5	9.5	44.1
1948	8	14.2	9.9	74.6
1948	9	14.4	8	78.7
1948	10	10.6	4.7	110
1948	11	9.8	3.9	55.8
1948	12	8	4.1	75.7
1949	1	7.2	1.1	101.4
1949	2	8.1	1.4	53.1
1949	3	6.8	1.5	88.5
1949	4	11.4	3.6	44.4
1949	5	12.2	5.5	50.3
1949	6	14.5	6.4	35.5
1949	7	16.6	9.5	17.4
1949	8	15.9	10.2	100
1949	9	15.3	10.1	60.4
1949	10	12.8	7.4	29.3
1949	11	9.6	3.9	72.2
1949	12	6.4	0.9	98.9
1950	1	7	2.8	88
1950	2	6	-0.1	48.2
1950	3	9.2	3.3	66.3
1950	4	9.1	2.2	62
1950	5	11.7	5	18.4
1950	6	15.9	8.4	49.7
1950	7	15.8	10.2	90.3
1950	8	16.6	10.9	87.3
1950	9	13.8	8	122.2
1950	10	11.8	6	44.4
1950	11	7.1	2.1	104.3
1950	12	3.8	-1.1	115.7
1951	1	5	1	66.4
1951	2	5.6	0.6	88.1
1951	3	6	0.6	92.7
1951	4	7.9	1.3	62.3
1951	5	10.1	4.7	11.6
1951	6	13.1	6.7	21.2
1951	7	16	10	94.2
1951	8	15.4	9.7	75.4
1951	9	14.6	9.3	36.6
1951	10	12.6	7.9	48.6
1951	11	9.4	4.5	129.6
1951	12	6.7	1.8	61.9
1952	1	3.9	-1.6	93.3
1952	2	5.7	0	61.8
1952	3	7.6	2.6	71.2
1952	4	10.9	4.5	12.4
1952	5	12	7	46
1952	6	13.6	6.9	74.2
1952	7	15.7	9.3	40.7
1952	8	15.1	9.9	88.4
1952	9	11.9	6	62.1
1952	10	10.3	5.4	88.6
1952	11	6.2	0.7	90.6
1952	12	5.5	0.6	92
1953	1	7	2.4	71.2
1953	2	7.5	2	39.6
1953	3	9.4	2.4	32.1
1953	4	8.5	1.7	54.4
1953	5	12.3	6.1	65
1953	6	13.9	8.8	41.7
1953	7	15.1	9.8	104.6
1953	8	16.4	9.7	73.1
1953	9	15.2	10.1	53.1
1953	10	12.4	7.8	29.8
1953	11	9.9	4.7	62.8
1953	12	8.1	3.7	58.5
1954	1	5.8	1.5	47.2
1954	2	5.1	0.6	47.8
1954	3	7	2.2	53.9
1954	4	10.2	3.1	28
1954	5	11.5	5.8	69.4
1954	6	13.5	8.1	86.7
1954	7	15	9.2	78.9
1954	8	15	9.5	59.7
1954	9	13.3	6.8	69.6
1954	10	11.7	5.6	143.9
1954	11	8.4	3.2	113.6
1954	12	7.4	2.3	139.4
1955	1	4.3	-0.5	94.1
1955	2	3.1	-2.4	79.4
1955	3	6.2	0.6	41.6
1955	4	11.3	4.1	33.5
1955	5	10.2	3.5	64.9
1955	6	13.8	7.1	14.5
1955	7	18.1	9.8	9
1955	8	17.3	11.1	14.6
1955	9	15.9	9.1	82.6
1955	10	10.7	4.8	103.7
1955	11	9.7	4.4	58.6
1955	12	5.9	0.3	123.5
1956	1	4.8	-0.8	138.2
1956	2	5	-1	46.8
1956	3	6.6	2	41.3
1956	4	8.5	1.2	42.9
1956	5	13.2	6.1	36.2
1956	6	13	6.8	60.6
1956	7	14.8	9.2	91.9
1956	8	13.8	7.7	70
1956	9	13.8	9.1	48
1956	10	11.3	5.8	69.4
1956	11	8.8	3.7	93.1
1956	12	7.9	2.7	87
1957	1	7.6	1.9	78.1
1957	2	6	0.3	30.4
1957	3	9.2	4.2	88.3
1957	4	10.8	3.4	26.2
1957	5	10.9	4.6	33.7
1957	6	14.2	6.8	77.1
1957	7	14.2	9.9	102.2
1957	8	14.7	9.7	130.2
1957	9	12.7	7.3	82.6
1957	10	12.2	5.7	51.4
1957	11	8.8	3.9	54.6
1957	12	6.4	1.7	102.6
1958	1	5.2	-0.9	104.1
1958	2	5.1	-1.1	127.2
1958	3	4.7	-0.2	74.5
1958	4	9.6	2.6	37.6
1958	5	10.5	4.1	82.6
1958	6	13.3	8.2	23.1
1958	7	15.7	9.5	54.4
1958	8	15.1	10.2	81.1
1958	9	15.2	10.4	21.4
1958	10	12.7	6.9	88.4
1958	11	9.8	3.5	34.2
1958	12	6.3	1.5	87.2
1959	1	3.6	-2.3	192.9
1959	2	7.8	1.4	8.5
1959	3	8.6	3.3	42.5
1959	4	10.2	4	49.2
1959	5	12.3	6.5	38.5
1959	6	15.1	8.2	37
1959	7	16.6	10.9	68.8
1959	8	17.1	10.7	50.3
1959	9	15.8	8.9	26.3
1959	10	13.1	8.3	101.8
1959	11	9.6	4.4	108.5
1959	12	7.3	3.1	79.7
1960	1	5.9	0.5	93.1
1960	2	5.1	-1	135.4
1960	3	6.8	2.8	27.2
1960	4	10.5	4.8	46.2
1960	5	13.2	6.8	15.1
1960	6	16	9.2	48.6
1960	7	15.8	10	73.5
1960	8	15	9.2	98.6
1960	9	14.3	8.2	62.4
1960	10	11	8	76.5
1960	11	8.8	4.2	64.1
1960	12	5.6	1	68.8
1961	1	5.5	0.9	61.8
1961	2	7.9	2.3	56.2
1961	3	10.5	3.6	51.3
1961	4	9.4	3.6	55.1
1961	5	11.5	5.5	32.4
1961	6	14.6	7.8	33.4
1961	7	14.7	9.4	62.5
1961	8	15.8	9.3	73.9
1961	9	15.1	9.1	65
1961	10	11.8	7.6	68.7
1961	11	7.5	1.6	48.8
1961	12	4.6	-1.1	73.3
1962	1	6.1	0.9	75.1
1962	2	6.8	1.2	64.5
1962	3	4.8	-1.3	74.6
1962	4	8.6	2.1	62.5
1962	5	10.3	4.8	50.7
1962	6	14.7	7.7	54.6
1962	7	13.7	8.7	33.1
1962	8	14.2	7.9	119.5
1962	9	12.7	7.4	55.9
1962	10	12.1	7.2	37.1
1962	11	7.2	2.7	69.8
1962	12	6	1	104.6
1963	1	3.2	-2.3	38.2
1963	2	4.1	-1.1	20.9
1963	3	7.7	2.9	59.2
1963	4	9.6	3.6	27.9
1963	5	11.5	4.7	52.5
1963	6	14	8.5	64.8
1963	7	14.9	8.7	38.2
1963	8	14.1	9.2	135.4
1963	9	14	8.2	70
1963	10	12	6.2	47.8
1963	11	7.9	3.2	125.8
1963	12	5.9	1.6	29.1
1964	1	7.5	2.5	28.7
1964	2	6.4	2.4	55
1964	3	6.7	2.3	32.5
1964	4	10.6	3.7	27.3
1964	5	12.2	6.7	41
1964	6	14.7	7.2	52.4
1964	7	15.9	8.7	40.2
1964	8	14.8	8.6	139.9
1964	9	13.5	7.6	117.6
1964	10	11.2	5.5	47.3
1964	11	9.1	3.5	63.5
1964	12	5.6	0.2	74.7
1965	1	5.1	-0.2	90.7
1965	2	6.4	1.7	44.6
1965	3	6.7	0.7	23.8
1965	4	9.8	2.7	69.9
1965	5	10.5	5.8	59.6
1965	6	14	8.5	40
1965	7	12.9	7.7	98.4
1965	8	15	8.8	56.1
1965	9	13.5	8.6	103.1
1965	10	12.1	7.6	55.7
1965	11	6.1	0.9	86.7
1965	12	4.5	-0.3	96.1
1966	1	5.1	1.3	45.5
1966	2	5.4	1.2	67.1
1966	3	8.3	2.2	80.7
1966	4	7.5	2	13.2
1966	5	11.9	5	68.1
1966	6	14.3	9.5	106.5
1966	7	15.6	8.5	86.5
1966	8	14.8	8.9	86.2
1966	9	14.6	8.9	76
1966	10	11.2	6.1	136
1966	11	6.8	2.1	102
1966	12	5.7	0.8	137.8
1967	1	5.9	2.3	101.3
1967	2	7.2	2.8	57.3
1967	3	8.3	1.8	87.6
1967	4	9.9	2.6	43.9
1967	5	10.5	5.1	60.8
1967	6	14.4	7.6	33.3
1967	7	16.6	9.7	33.9
1967	8	15.5	9.7	68
1967	9	14.3	9.7	90.6
1967	10	10.9	5.4	91.2
1967	11	8.6	2.5	80.7
1967	12	6.2	1.1	121.5
1968	1	5.5	0.1	77.5
1968	2	4.2	-1	52.1
1968	3	7.7	1.7	55.4
1968	4	8.7	3.1	65.4
1968	5	9.1	3.8	53.1
1968	6	14.1	7.8	67.9
1968	7	14.2	8.9	74.4
1968	8	15.1	9.1	56.7
1968	9	13.7	9	43.9
1968	10	12.2	7.6	105.3
1968	11	8.1	3.4	34
1968	12	6.3	2.1	55.6
1969	1	6.7	2.2	140
1969	2	3.1	-2.4	50.1
1969	3	5.7	0	18.7
1969	4	9.1	2.5	56
1969	5	10.3	5	50.2
1969	6	15.2	8.2	35.1
1969	7	17.4	9.9	40.6
1969	8	16.2	11.1	59.4
1969	9	14.6	7.9	89.1
1969	10	13.7	7.8	73.3
1969	11	5.6	-0.1	83.1
1969	12	5.9	1.5	93
1970	1	5.2	1.4	51.8
1970	2	4	-2.1	97.7
1970	3	5.9	-0.2	69
1970	4	8.5	1.5	59.9
1970	5	12.2	6.4	37.2
1970	6	15.3	8.9	19.7
1970	7	14.4	8.5	68.3
1970	8	16.1	10.7	96.9
1970	9	14.4	8.7	68.5
1970	10	11.3	5.5	105
1970	11	7.8	2.8	168.2
1970	12	6.7	1.9	50.2
1971	1	6.7	2.8	75.2
1971	2	7.5	2.3	29.5
1971	3	7.9	1.8	71.6
1971	4	9.5	3.2	22.1
1971	5	13.2	6.7	57.9
1971	6	12.8	6.7	60.3
1971	7	15.8	8.7	57
1971	8	15.4	9.1	50.2
1971	9	15.4	9.1	33.2
1971	10	13.1	6.5	53.8
1971	11	8.2	2.5	90.4
1971	12	9.3	4.1	39
1972	1	6.2	2.4	63.2
1972	2	6.4	2.6	68.8
1972	3	7.9	3	21.7
1972	4	10.1	3.6	52.4
1972	5	11.5	6.1	37.1
1972	6	13.3	7.2	65.7
1972	7	15.7	9.4	47
1972	8	15	8.8	34.9
1972	9	13.2	6.4	24.5
1972	10	12.5	6.9	22.9
1972	11	8.2	2.1	96.6
1972	12	7.5	2.5	27.5
1973	1	7.4	2.8	31.2
1973	2	6	-0.6	67.2
1973	3	9.4	2.4	14.1
1973	4	7.9	1.6	95.8
1973	5	11.1	5.1	49
1973	6	15.2	8.4	44.3
1973	7	15.6	9.6	54.3
1973	8	15.9	9.1	102.8
1973	9	14.1	8.2	81.9
1973	10	11.1	4	57.3
1973	11	7.5	1.8	161.9
1973	12	6.3	0.6	103
1974	1	7.5	2.9	51.2
1974	2	7.1	2.1	69.2
1974	3	7.3	2.4	35
1974	4	9.4	3.6	15.3
1974	5	11.7	6.6	51.1
1974	6	14	7.7	56.2
1974	7	15.7	8.8	55.7
1974	8	16.3	9.5	66.8
1974	9	13.3	6.5	65.5
1974	10	10	4.6	71.7
1974	11	8.3	3.4	114
1974	12	7.5	2.6	81.2
1975	1	7.2	0.9	80.5
1975	2	7	2.3	14.9
1975	3	6.8	1.2	40.2
1975	4	8.8	2.5	58.8
1975	5	10.1	4.3	33.2
1975	6	14.9	6.9	22.2
1975	7	16.1	10	46.2
1975	8	17.6	11	58.6
1975	9	14.2	7.4	92.1
1975	10	12.4	7.5	22.4
1975	11	8.7	3.7	70.6
1975	12	8	3	82.6
1976	1	5.9	1	134.4
1976	2	7	2.7	57.2
1976	3	6.5	2.1	75.2
1976	4	9.9	3.8	14.5
1976	5	12	6.3	29.5
1976	6	16.1	8.7	23.3
